valid_time_gmt,feels_like
2017-01-06 02:53:00,26
2017-01-06 06:53:00,26
2017-05-03 13:53:00,88
2017-05-03 14:53:00,90
2017-05-03 15:53:00,90
2017-05-03 16:53:00,89
2017-06-18 10:53:00,91
2017-06-18 11:53:00,93
2017-06-18 12:53:00,97
2017-06-18 13:53:00,99
2017-06-18 14:53:00,100
2017-06-18 15:53:00,101
2017-06-18 16:53:00,100
2017-06-18 17:53:00,93
2017-06-18 18:53:00,91
2017-06-18 19:53:00,88
2017-06-19 11:53:00,93
2017-06-19 12:53:00,95
2017-06-19 13:53:00,90
2017-06-19 14:53:00,89
2017-06-19 15:53:00,92
2017-06-19 16:53:00,89
2017-06-20 12:53:00,88
2017-06-21 13:53:00,89
2017-06-21 14:53:00,92
2017-06-22 11:53:00,94
2017-06-22 12:53:00,95
2017-06-22 13:53:00,93
2017-06-22 14:53:00,95
2017-06-22 15:53:00,91
2017-06-22 16:53:00,88
